# Destination	menuOption menuTarget objectID	Skills	Items	Quests	Duration	Display info	Consumable	Wilderness level	Varbits	Varplayers
# Clue compass										
1641 3809 0			30363=1		4	Clue compass: 4. Arceuus Library	F	20	10032>0	
3110 3420 0			30363=1		4	Clue compass: B. Barbarian Village	F	20	10032>0	
1663 10045 0			30363=1		4	Clue compass: H. Catacombs of Kourend	F	20	10032>0	
3375 3419 0			30363=1		4	Clue compass: Q. Digsite	F	20	10032>0	
3355 3348 0			30363=1		4	Clue compass: R: Digsite Exam centre	F	20	10032>0	
3089 3333 0			30363=1		4	Clue compass: S: Draynor Manor	F	20	10032>0	
3109 3288 0			30363=1		4	Clue compass: T: Draynor Village (Crossroads)	F	20	10032>0	
3129 3250 0			30363=1		4	Clue compass: U: Draynor Village (Jail)	F	20	10032>0	
3082 3252 0			30363=1		4	Clue compass: V: Draynor Village (Market)	F	20	10032>0	
3096 3252 0			30363=1		4	Clue compass: W: Draynor Village (Miss Schism)	F	20	10032>0	
3079 3504 0			30363=1		4	Clue compass: X: Edgeville	F	20	10032>0	
3056 3484 0			30363=1		4	Clue compass: Y: Edgeville Monestary	F	20	10032>0	
3024 4518 0			30363=1		4	Clue compass: Enchanted Valley	F	20	10032>0	
2942 3338 0			30363=1		4	Clue compass: Falador (Gem shop)	F	20	10032>0	
3045 3371 0			30363=1		4	Clue compass: Falador (Party room)	F	20	10032>0	
2957 3502 0			30363=1		4	Clue compass: Goblin Village	F	20	10032>0	
1712 3469 0			30363=1		4	Clue compass: Hosidius (Charcoal Burners)	F	20	10032>0	
1645 3632 0			30363=1		4	Clue compass: Hosidius Mess	F	20	10032>0	
3372 3499 0			30363=1		4	Clue compass: Limestone Mine	F	20	10032>0	
3299 3490 0			30363=1		4	Clue compass: Lumber Yard Sawmill	F	20	10032>0	
3234 3201 0			30363=1		4	Clue compass: Lumbridge (Bob's axes)	F	20	10032>0	
3167 9571 0			30363=1		4	Clue compass: Lumbridge (Swamp caves)	F	20	10032>0	
3200 3169 0			30363=1		4	Clue compass: Lumbridge (Swamp)	F	20	10032>0	
3161 3298 0			30363=1		4	Clue compass: Lumbridge (Windmill)	F	20	10032>0	
1317 3839 0			30363=1		4	Clue compass: Mount Karuulm	F	20	10032>0	
2990 3110 0			30363=1		4	Clue compass: Mudskipper point	F	20	10032>0	
2911 3169 0			30363=1		4	Clue compass: Musa Point	F	20	10032>0	
3049 3237 0			30363=1		4	Clue compass: Port Sarim	F	20	10032>0	
2981 3276 0			30363=1		4	Clue compass: Rimmington (Crossroads)	F	20	10032>0	
2975 3238 0			30363=1		4	Clue compass: Rimmington (Mine)	F	20	10032>0	
1542 3630 0			30363=1		4	Clue compass: Shayzien Combat Ring	F	20	10032>0	
1487 3637 0			30363=1		4	Clue compass: Shayzien War Tent	F	20	10032>0	
2852 2953 0			30363=1		4	Clue compass: Shilo Village	F	20	10032>0	
1812 3854 0			30363=1		4	Clue compass: Soul Altar	F	20	10032>0	
2801 3080 0			30363=1		4	Clue compass: Tai Bwo Wannai Village	F	20	10032>0	
2924 3479 0			30363=1		4	Clue compass: Taverly (Stone Circle)	F	20	10032>0	
2887 3677 0			30363=1		4	Clue compass: Trollheim	F	20	10032>0	
2465 5148 0			30363=1		4	Clue compass: Tzhaar Gem stall	F	20	10032>0	
2479 5145 0			30363=1		4	Clue compass: Tzhaar Weapon Shop	F	20	10032>0	
3208 3423 0			30363=1		4	Clue compass: Varrock (Aris' Tent)	F	20	10032>0	
3210 3415 0			30363=1		4	Clue compass: Varrock (Clothes shop)	F	20	10032>0	
3160 3465 0			30363=1		4	Clue compass: Varrock (Grand Exchange)	F	20	10032>0	
3231 3494 0			30363=1		4	Clue compass: Varrock (Palace Gardens)	F	20	10032>0	
3212 3490 0			30363=1		4	Clue compass: Varrock (Palace library)	F	20	10032>0	
3253 3404 0			30363=1		4	Clue compass: Varrock (Rune shop)	F	20	10032>0	
2851 3496 0			30363=1		4	Clue compass: White Wolf Mountain	F	20	10032>0	
3113 3195 0			30363=1		4	Clue compass: Wizards' Tower	F	20	10032>0	
